rmse,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
29107.38719564231,250,,6,1,0.3
29111.675614429936,250,15,3,1,0.3
29734.785783791176,180,10,3,1,0.7
29774.36545245909,80,,12,2,0.7
29844.683512751657,180,15,12,2,0.7
30636.979917006607,80,7,3,2,0.7
30661.63823169958,120,7,6,2,0.3
30670.33503538441,250,10,6,6,0.7
30919.960200449033,180,15,3,1,sqrt
30960.67766104068,120,7,20,2,0.7
