rmse,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
29072.292685679695,400,15,8,1,0.5
29291.521969011217,150,15,2,1,0.5
29299.550241237735,250,20,8,1,0.5
29800.482242991584,400,15,2,1,0.8
29839.52583134198,400,,4,1,0.8
29845.633842151226,250,15,8,3,0.5
30068.02455863519,150,20,4,1,0.8
30166.87649618468,150,15,2,5,0.5
30166.87649618468,150,15,8,5,0.5
30265.061965113033,150,15,2,3,0.8
